"Start_year","End_year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Trend","Trend_Q0.025","Trend_Q0.05","Trend_Q0.25","Trend_Q0.75","Trend_Q0.95","Trend_Q0.975","Percent_Change","Percent_Change_Q0.025","Percent_Change_Q0.05","Percent_Change_Q0.25","Percent_Change_Q0.75","Percent_Change_Q0.95","Percent_Change_Q0.975","prob_decrease_0_percent","prob_decrease_25_percent","prob_decrease_30_percent","prob_decrease_50_percent","prob_increase_0_percent","prob_increase_33_percent","prob_increase_100_percent","Relative_Abundance","Observed_Relative_Abundance","Number_of_strata","Width_of_95_percent_Credible_Interval","Number_of_Routes","Mean_Number_of_Routes","rolt","roltlci","roltlci2","roltuci","roltuci2","model","species"
1966,1976,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",0.280137562519767,-2.22220681310451,-1.7551039636475,-0.492169524917982,0.992423806308429,2.0123181288615,2.33161656141909,2.83695540978357,-20.1265686144032,-16.2277891676553,-4.81410973886649,10.3793809079578,22.0467351553511,25.9210535312818,0.399,0.00966666666666667,0.00266666666666667,0,0.601,0.00733333333333333,0,0.653093051790768,0.548258522840508,22,4.5538233745236,706,252.018867924528,0.280137562519767,-2.22220681310451,-0.492169524917982,2.33161656141909,0.992423806308429,"firstdiff","American Kestrel"
1967,1977,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",0.592475434929296,-1.79515589539354,-1.39736790308009,-0.114321540919377,1.28555765220237,2.34180895698617,2.69433976337629,6.08523873411033,-16.5686804505489,-13.1269475560557,-1.13735131449826,13.6253511432369,26.0465293784597,30.4563055749601,0.286,0.00433333333333333,0.002,0,0.714,0.015,0,0.653093051790768,0.548258522840508,22,4.48949565876984,706,252.018867924528,0.592475434929296,-1.79515589539354,-0.114321540919377,2.69433976337629,1.28555765220237,"firstdiff","American Kestrel"
1968,1978,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",0.778791881530794,-1.61350694269299,-1.0381248894411,0.0718308587024208,1.5101773556245,2.43579257101378,2.7557445171052,8.06659755693295,-15.0125482344888,-9.90946644190229,0.720635148116333,16.1705018921106,27.2088481919755,31.2384555847699,0.229,0.00366666666666667,0.001,0,0.771,0.0186666666666667,0,0.653093051790768,0.548258522840508,22,4.36925145979819,706,252.018867924528,0.778791881530794,-1.61350694269299,0.0718308587024208,2.7557445171052,1.5101773556245,"firstdiff","American Kestrel"
1969,1979,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",1.12741479469506,-1.19835621181335,-0.716256314943211,0.430865966626687,1.78678330999278,2.70564426171672,3.01947651546419,11.8636708507761,-11.3575572582713,-6.9360560920913,4.39316855059331,19.3751422444879,30.599980521726,34.6459787495043,0.144333333333333,0.00266666666666667,0.001,0,0.855666666666667,0.0336666666666667,0,0.653093051790768,0.548258522840508,22,4.21783272727753,706,252.018867924528,1.12741479469506,-1.19835621181335,0.430865966626687,3.01947651546419,1.78678330999278,"firstdiff","American Kestrel"
1970,1980,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",1.26376615622256,-0.993290417579955,-0.565954193125207,0.58682080561922,2.0006160275965,2.88738114569167,3.15689168591705,13.3811230499494,-9.50047791069857,-5.51755897988262,6.02561980631249,21.9068054238784,32.9294264312769,36.4528077815118,0.117333333333333,0.00166666666666667,0.000333333333333333,0,0.882666666666667,0.0493333333333333,0,0.653093051790768,0.548258522840508,22,4.150182103497,706,252.018867924528,1.26376615622256,-0.993290417579955,0.58682080561922,3.15689168591705,2.0006160275965,"firstdiff","American Kestrel"
1971,1981,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",1.21875225557436,-0.954500407891393,-0.535709646925444,0.563544624039919,1.91547054294331,2.77568528755608,3.09499151255779,12.8781267855161,-9.14528506177739,-5.22977839170715,5.78052737407651,20.8929957253416,31.4933569120432,35.6362190179977,0.118333333333333,0.00166666666666667,0,0,0.881666666666667,0.039,0,0.653093051790768,0.548258522840508,22,4.04949192044918,706,252.018867924528,1.21875225557436,-0.954500407891393,0.563544624039919,3.09499151255779,1.91547054294331,"firstdiff","American Kestrel"
1972,1982,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",1.01718703643322,-1.12454413765595,-0.697029481750907,0.298780111077962,1.63998972995204,2.45034618737945,2.71932749012595,10.6503290157733,-10.6931051941999,-6.7556731832364,3.02829440976238,17.6646819778073,27.3896967075021,30.7740804236103,0.173333333333333,0.00166666666666667,0.000666666666666667,0,0.826666666666667,0.015,0,0.653093051790768,0.548258522840508,22,3.8438716277819,706,252.018867924528,1.01718703643322,-1.12454413765595,0.298780111077962,2.71932749012595,1.63998972995204,"firstdiff","American Kestrel"
1973,1983,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",0.558644079681991,-1.46355200423292,-1.1086239236575,-0.0717194402520271,1.17955223988711,1.98335057027011,2.24584462338251,5.72899097845609,-13.7082983413834,-10.5492055873864,-0.714884167426266,12.4417332545982,21.7006120254864,24.8695853404947,0.272333333333333,0.00366666666666667,0.001,0,0.727666666666667,0.00533333333333333,0,0.653093051790768,0.548258522840508,22,3.70939662761544,706,252.018867924528,0.558644079681991,-1.46355200423292,-0.0717194402520271,2.24584462338251,1.17955223988711,"firstdiff","American Kestrel"
1974,1984,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",0.480231456626512,-1.49926157010199,-1.13526615280007,-0.136036897461714,1.08986708888146,1.889263324822,2.1637276061428,4.9074349332944,-14.0205038344774,-10.789902190585,-1.35207139514187,11.449020593431,20.5824829629678,23.8703332277114,0.300333333333333,0.003,0.000666666666666667,0,0.699666666666667,0.003,0,0.653093051790768,0.548258522840508,22,3.66298917624478,706,252.018867924528,0.480231456626512,-1.49926157010199,-0.136036897461714,2.1637276061428,1.08986708888146,"firstdiff","American Kestrel"
1975,1985,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",0.231783954541709,-1.64644372741393,-1.31195226759113,-0.380957510975793,0.798366148267199,1.62429985234165,1.89807356462931,2.34216550738484,-15.2966319491992,-12.3714591599361,-3.74492621847874,8.2766788830527,17.483172389269,20.6867916504174,0.397333333333333,0.002,0.000666666666666667,0,0.602666666666667,0.001,0,0.653093051790768,0.548258522840508,22,3.54451729204324,706,252.018867924528,0.231783954541709,-1.64644372741393,-0.380957510975793,1.89807356462931,0.798366148267199,"firstdiff","American Kestrel"
