"","species","model","minutes","iterations","burnin","samples","thin","hours","MOD","pmin"
"1","American Kestrel","gamye",4149.324,20000,10000,3000,10,69.2,"GAMYE",1.3
"2","American Kestrel","gam",4296.083,20000,10000,3000,10,71.6,"GAM",1.34
"3","American Kestrel","firstdiff",2518.948,20000,10000,3000,10,42,"DIFFERENCE",0.79
"4","American Kestrel","slope",3203.38,20000,10000,3000,10,53.4,"SLOPE",1
"5","Barn Swallow","gamye",5105.731,20000,10000,3000,10,85.1,"GAMYE",1.42
"6","Barn Swallow","gam",4787.597,20000,10000,3000,10,79.8,"GAM",1.33
"7","Barn Swallow","firstdiff",3039.987,20000,10000,3000,10,50.7,"DIFFERENCE",0.85
"8","Barn Swallow","slope",3588.59,20000,10000,3000,10,59.8,"SLOPE",1
"9","Wood Thrush","gamye",2787.62,20000,10000,3000,10,46.5,"GAMYE",1.32
"10","Wood Thrush","gam",2872.736,20000,10000,3000,10,47.9,"GAM",1.36
"11","Wood Thrush","firstdiff",1734.48,20000,10000,3000,10,28.9,"DIFFERENCE",0.82
"12","Wood Thrush","slope",2116.615,20000,10000,3000,10,35.3,"SLOPE",1
"13","Chestnut-collared Longspur","gamye",210.62,20000,10000,3000,10,3.5,"GAMYE",1.17
"14","Chestnut-collared Longspur","gam",240.305,20000,10000,3000,10,4,"GAM",1.33
"15","Chestnut-collared Longspur","firstdiff",141.619,20000,10000,3000,10,2.4,"DIFFERENCE",0.78
"16","Chestnut-collared Longspur","slope",180.732,20000,10000,3000,10,3,"SLOPE",1
"17","Canada Warbler","gamye",868.463,20000,10000,3000,10,14.5,"GAMYE",1.32
"18","Canada Warbler","gam",911.431,20000,10000,3000,10,15.2,"GAM",1.39
"19","Canada Warbler","firstdiff",545.987,20000,10000,3000,10,9.1,"DIFFERENCE",0.83
"20","Canada Warbler","slope",656.978,20000,10000,3000,10,10.9,"SLOPE",1
"21","Carolina Wren","gamye",2432.253,20000,10000,3000,10,40.5,"GAMYE",1.22
"22","Carolina Wren","gam",2560.109,20000,10000,3000,10,42.7,"GAM",1.29
"23","Carolina Wren","firstdiff",1655.106,20000,10000,3000,10,27.6,"DIFFERENCE",0.83
"24","Carolina Wren","slope",1987.21,20000,10000,3000,10,33.1,"SLOPE",1
"25","Pine Siskin","gamye",1482.416,20000,10000,3000,10,24.7,"GAMYE",1.17
"26","Pine Siskin","gam",1658.607,20000,10000,3000,10,27.6,"GAM",1.31
"27","Pine Siskin","firstdiff",1025.198,20000,10000,3000,10,17.1,"DIFFERENCE",0.81
"28","Pine Siskin","slope",1270.515,20000,10000,3000,10,21.2,"SLOPE",1
"29","Cooper's Hawk","gamye",2352.447,20000,10000,3000,10,39.2,"GAMYE",1.23
"30","Cooper's Hawk","gam",2563.174,20000,10000,3000,10,42.7,"GAM",1.34
"31","Cooper's Hawk","firstdiff",1580.686,20000,10000,3000,10,26.3,"DIFFERENCE",0.83
"32","Cooper's Hawk","slope",1912.915,20000,10000,3000,10,31.9,"SLOPE",1
"33","Ruby-throated Hummingbird","gamye",3026.046,20000,10000,3000,10,50.4,"GAMYE",1.33
"34","Ruby-throated Hummingbird","gam",2983.567,20000,10000,3000,10,49.7,"GAM",1.31
"35","Ruby-throated Hummingbird","firstdiff",1873.171,20000,10000,3000,10,31.2,"DIFFERENCE",0.82
"36","Ruby-throated Hummingbird","slope",2281.263,20000,10000,3000,10,38,"SLOPE",1
"37","Chimney Swift","gamye",3752.303,20000,10000,3000,10,62.5,"GAMYE",1.35
"38","Chimney Swift","gam",3959.131,20000,10000,3000,10,66,"GAM",1.42
"39","Chimney Swift","firstdiff",2326.257,20000,10000,3000,10,38.8,"DIFFERENCE",0.84
"40","Chimney Swift","slope",2778.493,20000,10000,3000,10,46.3,"SLOPE",1
